ID_Implementação,Domínio,Indicador de execução,Unidade execução,2022_Base,2023,2024,Meta MINPLAN 2025,Meta MINPLAN 2025 original,2025,Diferença 2025 vs meta MINPLAN,% do alvo MINPLAN 2025,Indicador PDN equivalente,Meta PDN 2027,Meta PDN 2027 original,Tipo de correspondência,Referência/metas PDN,Páginas PDN,Diferença 2025 vs meta PDN,% do alvo PDN 2027,Observação
IMP-comunicacao-numero_de_assinantes_de_internet,Comunicação,Número de assinantes de Internet,N.º/100 habitantes,30,33,36,42,42,50,8,119.04761904761905,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-comunicacao-numero_de_assinantes_de_servicos_moveis,Comunicação,Número de assinantes de serviços móveis,N.º/100 habitantes,72,75,75,79,79,78,-1,98.73417721518987,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-salas_de_aula_do_ensino_primario_cumulativo,Educação e Formação Profissional,Salas de aula do Ensino Primário (cumulativo),N.º,60004,62395,61516,60018,60 018,65388,5370,108.94731580525843,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-salas_de_aula_do_i_ciclo_do_ensino_secundario_cumulativo,Educação e Formação Profissional,Salas de aula do I Ciclo do Ensino Secundário (cumulativo),N.º,29323,36255,42192,16286,16 286,48972,32686,300.6999877195137,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-salas_de_aula_do_ii_ciclo_do_ensino_secundario_cumulativo,Educação e Formação Profissional,Salas de aula do II Ciclo do Ensino Secundário (cumulativo),N.º,16409,15962,19174,11141,11 141,24435,13294,219.32501570774616,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-taxa_de_alfabetizacao_da_populacao_maior_que_15_anos,Educação e Formação Profissional,Taxa de alfabetização da população maior que 15 anos,%,76,76,76,77,77,76,-1,98.7012987012987,Taxa de alfabetização (>=15 anos),78.0,78%,Comparável diretamente,"Taxa de alfabetização (>=15 anos) — Educação, Juventude, Emprego e Inovação, grupo Educação",55,-2.0,97.43589743589743,Correspondência de conceito e unidade com a meta da Educação.
IMP-educacao_e_formacao_profissional-taxa_de_conclusao_do_ensino_primario,Educação e Formação Profissional,Taxa de conclusão do Ensino Primário,%,61,58,58,69,69,58,-11,84.05797101449275,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-taxa_de_conclusao_do_i_ciclo_do_ensino_secundario_ensino_geral,Educação e Formação Profissional,Taxa de conclusão do I Ciclo do Ensino Secundário (Ensino Geral),%,44,42,45,54,54,45,-9,83.33333333333334,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-taxa_de_conclusao_do_ii_ciclo_do_ensino_secundario_ensino_geral,Educação e Formação Profissional,Taxa de conclusão do II Ciclo do Ensino Secundário (Ensino Geral),%,15,12,10,22,22,10,-12,45.45454545454545,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-professores_de_ensino_pre_escolar_com_a_qualificacao_minima_exigida_cumulativo,Educação e Formação Profissional,Professores de Ensino Pré-escolar com a qualificação mínima exigida (cumulativo),%,65,80,,65,65,,,,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-professores_de_ensino_primario_com_a_qualificacao_minima_exigida_cumulativo,Educação e Formação Profissional,Professores de Ensino Primário com a qualificação mínima exigida (cumulativo),%,81,82,,70,70,,,,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-professores_de_ensino_secundario_com_a_qualificacao_minima_exigida_cumulativo,Educação e Formação Profissional,Professores de Ensino Secundário com a qualificação mínima exigida (cumulativo),%,83,84,,80,80,,,,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-numero_de_pessoas_formadas_pelo_snefp_cumulativo,Educação e Formação Profissional,Número de pessoas formadas pelo SNEFP (cumulativo),N.º,100194,188865,341490,353000,353 000,524016,171016,148.44645892351275,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-kits_profissionais_distribuidos_cumulativo,Educação e Formação Profissional,Kits profissionais distribuídos (cumulativo),N.º,25483,27131,27580,27580,27 580,28070,490,101.77664974619289,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-educacao_e_formacao_profissional-estudantes_matriculados_no_ensino_superior_cumulativo,Educação e Formação Profissional,Estudantes matriculados no Ensino Superior (cumulativo),N.º,320432,334842,343235,411774,411 774,329548,-82226,80.03127929398165,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-estradas_nacionais_reabilitadas_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Estradas Nacionais reabilitadas (cumulativo),Km,9474,9924,10121,10424,10 424,10338.64,-85.36000000000058,99.18112049117421,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-equipamentos_sociais_construidos_ou_reabilitados_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Equipamentos sociais construídos ou reabilitados (cumulativo),N.º,151,160,167,801,801,204,-597,25.468164794007492,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-construcao_e_reabilitacao_de_pontes_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Construção e reabilitação de pontes (cumulativo),M,3910,4400,5360,10114,10 114,5950.5,-4163.5,58.834289104211976,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-taxa_de_electrificacao,"Infraestruturas, Habitação e Serviços Comunitários",Taxa de electrificação,% da população,43,43,44,47,47,48,1,102.12765957446808,Taxa de electrificação (on-grid),49.0,49%,Comparável diretamente,"Taxa de electrificação (on-grid) — Energética, grupo Energia",104,-1.0,97.95918367346938,A meta PDN é a taxa de electrificação on-grid; o indicador MINPLAN usa a população como denominador.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-numero_de_ligacoes_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Número de ligações (cumulativo),Milhões,2,2,2,3,3,2,-1,66.66666666666666,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-numero_de_sedes_municipais_com_distribuicao_de_energia_pela_ende,"Infraestruturas, Habitação e Serviços Comunitários",Número de sedes municipais com distribuição de energia pela ENDE,N.º,90,90,92,95,95,96,1,101.05263157894737,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-de_producao_total_de_energia_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",% de produção total de energia de fontes renováveis,%,65,65,66,68,68,66,-2,97.05882352941177,Produção de energias renováveis,73.0,73%,Comparável por conceito,"Produção de energias renováveis — Energética, grupo Energia",104,-7.0,90.41095890410958,"A unidade e o conceito são equivalentes em termos de quota de capacidade/produção, mas a descrição do denominador deve ser confirmada antes de uma avaliação formal."
IMP-infraestruturas_habitacao_e_servicos_comunitarios-potencia_instalada_proveniente_de_fontes_renovaveis,"Infraestruturas, Habitação e Serviços Comunitários",Potência instalada proveniente de fontes renováveis,GW,4,4,5,4,4,4,0,100.0,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-quantidade_de_agua_tratada_cumulativo,"Infraestruturas, Habitação e Serviços Comunitários",Quantidade de água tratada (cumulativo),Mm³/d,1320,1324,1325,1630,1 630,1325,-305,81.28834355828221,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-taxa_de_cobertura_de_aguas_nas_areas_urbanas,"Infraestruturas, Habitação e Serviços Comunitários",Taxa de cobertura de águas nas áreas urbanas,%,72,72,72,,—,75,,,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-infraestruturas_habitacao_e_servicos_comunitarios-taxa_de_cobertura_de_aguas_nas_areas_rurais,"Infraestruturas, Habitação e Serviços Comunitários",Taxa de cobertura de águas nas áreas rurais,%,70,70,70,,—,30,,,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-toneladas_de_carne_produzidas,Fomento à Produção,Toneladas de carne produzidas,Toneladas,319962,341943,333238,531444,531 444,357668,-173776,67.30116437479772,Toneladas de produção de carne,788,788,"Correspondência de conceito, escala diferente","Toneladas de produção de carne — Apoio à Produção, Diversificação das Exportações e Substituição das Importações, grupo Agricultura e Pecuária",138,,,"O indicador de execução está em toneladas; a meta PDN está em milhares de toneladas. A linha é apresentada para referência, sem cálculo automático."
IMP-fomento_a_producao-toneladas_de_raizes_e_tuberculos_produzidas,Fomento à Produção,Toneladas de raízes e tubérculos produzidas,Toneladas,12922711,13743973,14582355,17311162,17 311 162,16131827,-1179335,93.18743016788821,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-toneladas_de_fruta_produzidas,Fomento à Produção,Toneladas de fruta produzidas,Toneladas,6079785,6487767,6896497,7851527,7 851 527,7278221,-573306,92.69815922431394,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-toneladas_de_cereais_produzidas,Fomento à Produção,Toneladas de cereais produzidas,Toneladas,3187951,3357136,3521636,7903325,7 903 325,3763948,-4139377,47.624866749121416,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-toneladas_de_horticolas_produzidas,Fomento à Produção,Toneladas de hortícolas produzidas,Toneladas,1975867,2203362,2359801,2373450,2 373 450,2552238,178788,107.53283195348544,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-ovos_produzidos,Fomento à Produção,Ovos produzidos,Milhões,2694,2761,2422,2981,2 981,2545,-436,85.37403555853741,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-litros_de_leite_produzidos,Fomento à Produção,Litros de leite produzidos,Milhões de Litros,6,6,6,12,12,6,-6,50.0,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-unidades_industriais_no_subsector_da_industria_pesqueira_e_de_transformacao_de_carne_instaladas_cumulativo,Fomento à Produção,Unidades industriais no subsector da indústria pesqueira e de transformação de carne instaladas (cumulativo),N.º,9,18,72,30,30,93,63,310.0,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-fomento_a_producao-toneladas_de_peixe_de_captura_industrial_e_semi_industrial_produzidas,Fomento à Produção,Toneladas de peixe de captura industrial e semi-industrial produzidas,Milhares de Toneladas,335,346,374,357,357,273,-84,76.47058823529412,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-economico-taxa_de_crescimento_do_pib,Económico,Taxa de crescimento do PIB,%,4,1,5,3,3,3,0,100.0,Crescimento real anual médio do PIB,3.0,3%,"Referência de trajectória, não meta anual","Crescimento real anual médio do PIB — Grandes números / quadro macroeconómico, grupo Economia",13,,,"O PDN publica uma média projectada para 2023–2027, não uma meta específica para o ano 2025."
IMP-economico-taxa_de_crescimento_do_pib_nao_petrolifero,Económico,Taxa de crescimento do PIB não petrolífero,%,4,2,5,6,6,5,-1,83.33333333333334,Crescimento médio anual do PIB não-petrolífero,4.6,"4,6%","Referência de trajectória, não meta anual","Crescimento médio anual do PIB não-petrolífero — Grandes números / quadro macroeconómico, grupo Economia",13,,,"O PDN publica uma média projectada para 2023–2027, não uma meta específica para o ano 2025."
IMP-economico-taxa_de_inflacao,Económico,Taxa de inflação,%,14,20,28,18,18,16,-2,88.88888888888889,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-economico-empregos_formais_bruto_gerados,Económico,Empregos Formais Bruto Gerados,N.º,193078,191800,225157,,—,220509,,,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-economico-empregos_formais_liquidos_gerados,Económico,Empregos Formais Líquidos Gerados,N.º,176966,182541,218669,,—,214264,,,,,Sem valor numérico equivalente publicado,Sem correspondência,,,,,Não foi localizado indicador PDN equivalente.
IMP-economico-taxa_de_desemprego,Económico,Taxa de Desemprego,%,30,30,30,25,25,26.9,1.8999999999999986,107.59999999999998,Taxa de desemprego,25.0,25%,Comparável diretamente,"Taxa de desemprego — Grandes números / quadro macroeconómico, grupo Economia",13,1.8999999999999986,107.59999999999998,A meta é uma redução para 25%; diferença positiva significa que a execução permanece acima do alvo.
