ID,Domínio,Indicador,Unidade,Direcção,Método,Ano_partida,Valor_partida,S_2023,S_2024,S_2025,S_2026,S_2027,Meta_2027,Origem_Meta_2027,Estado
IMP-fomento_a_producao-toneladas_de_fruta_produzidas,Fomento à Produção,Toneladas de fruta produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),2025,7278221.0,,,7278221.0,8232119.241769799,9311037.300284859,9311037.300284859,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
IMP-fomento_a_producao-toneladas_de_cereais_produzidas,Fomento à Produção,Toneladas de cereais produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),2025,3763948.0,,,3763948.0,7381752.209646205,14476891.201636324,14476891.201636324,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
IMP-fomento_a_producao-toneladas_de_horticolas_produzidas,Fomento à Produção,Toneladas de hortícolas produzidas,Toneladas,Maior é melhor,Geométrica (CAGR),2025,2552238.0,,,2552238.0,2616323.378476789,2682017.9077202836,2682017.9077202836,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
IMP-fomento_a_producao-ovos_produzidos,Fomento à Produção,Ovos produzidos,Milhões,Maior é melhor,Geométrica (CAGR),2025,2545.0,,,2545.0,2848.9162094907906,3189.125174341601,3189.1251743416005,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
IMP-fomento_a_producao-litros_de_leite_produzidos,Fomento à Produção,Litros de leite produzidos,Milhões de Litros,Maior é melhor,Geométrica (CAGR),2025,6.0,,,6.0,10.690784617684074,19.048812623618396,19.048812623618396,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
IMP-fomento_a_producao-unidades_industriais_no_subsector_da_industria_pesqueira_e_de_transformacao_de_carne_instaladas_cumulativo,Fomento à Produção,Unidades industriais no subsector da indústria pesqueira e de transformação de carne instaladas (cumulativo),N.º,Maior é melhor,Linear,2025,93.0,,,93.0,68.5,44.0,44.0,Derivada: extensão linear da trajectória planeada 2022-2025,Meta 2027 já atingida
IMP-fomento_a_producao-toneladas_de_peixe_de_captura_industrial_e_semi_industrial_produzidas,Fomento à Produção,Toneladas de peixe de captura industrial e semi-industrial produzidas,Milhares de Toneladas,Maior é melhor,Geométrica (CAGR),2025,273.0,,,273.0,318.8770286908555,372.46358764362157,372.46358764362157,Derivada: extensão geométrica da trajectória planeada 2022-2025,Em curso
IMP-economico-taxa_de_crescimento_do_pib,Económico,Taxa de crescimento do PIB,%,Maior é melhor,Linear,2025,3.0,,,3.0,3.0,3.0,3.0,Trajectória média PDN 2023-2027 (p. 13); não é meta anual específica,Meta 2027 já atingida
IMP-economico-taxa_de_crescimento_do_pib_nao_petrolifero,Económico,Taxa de crescimento do PIB não petrolífero,%,Maior é melhor,Linear,2025,5.0,,,5.0,4.8,4.6,4.6,Trajectória média PDN 2023-2027 (p. 13); não é meta anual específica,Meta 2027 já atingida
IMP-economico-taxa_de_inflacao,Económico,Taxa de inflação,%,Menor é melhor,Linear,2025,16.0,,,16.0,17.0,18.0,18.0,Derivada: Meta MINPLAN 2025 mantida constante até 2027,Meta 2027 já atingida
IMP-economico-taxa_de_desemprego,Económico,Taxa de Desemprego,%,Menor é melhor,Linear,2025,26.9,,,26.9,25.95,25.0,25.0,Meta PDN 2027 publicada (p. 13),Em curso
