ID_Meta,Eixo/Política,Domínio/Grupo,Indicador PDN,Unidade,Valor_2022_Base,Valor_2022_Original,Meta_2027,Meta_2027_Original,Meta_2050,Meta_2050_Original,Página PDF,Notas
PDN-META-050,Desporto,Desporto,% de atletas federados do sexo feminino,%,20.0,20%,28.0,28%,50.0,50%,87,
PDN-META-051,População e Promoção das Comunidades Vulneráveis,Protecção Social,"% da população que vive abaixo do limiar de pobreza (<2,15 USD/dia)",%,31.0,31%,28.0,28%,18.0,18%,92,
PDN-META-052,População e Promoção das Comunidades Vulneráveis,Protecção Social,Volume de investimento em assistência social,"Biliões de Kz, anual",0.16,"0,16",0.33,"0,33",1.54,"1,54",92,
PDN-META-053,População e Promoção das Comunidades Vulneráveis,Protecção Social,Número de segurados registados na protecção social obrigatória,"Milhões, anual",2.5,"2,5",4.3,"4,3",13.6,"13,6",92,
PDN-META-054,População e Promoção das Comunidades Vulneráveis,Protecção Social,% de excedente do sistema de segurança social,%,0.25,"0,25%",0.26,"0,26%",0.33,"0,33%",92,
PDN-META-055,População e Promoção das Comunidades Vulneráveis,Idosos,Número de instalações públicas de cuidados a terceira idade construídas e reabilitadas,"N.º, cumulativo",11,11,12,12,13,13,92,
PDN-META-056,Energética,Energia,Taxa de electrificação (on-grid),%,43.0,43%,49.0,49%,72.0,72%,104,
PDN-META-057,Energética,Energia,Capacidade instalada de energia eléctrica,GW,6,6,10,10,33,33,104,
PDN-META-058,Energética,Energia,Produção de energias renováveis,% da capacidade instalada,64.0,64%,73.0,73%,94.0,94%,104,
PDN-META-059,Energética,Petróleo e Gás,Contribuição do petróleo e do gás para o PIB,"Biliões de Kz, anual",15.4,"15,4",13.8,"13,8",5.5,"5,5",104,
PDN-META-060,Energética,Petróleo e Gás,Contribuição do petróleo e do gás para o PIB,% do PIB,29.0,29%,22.0,22%,4.0,4%,104,
PDN-META-061,Energética,Petróleo e Gás,Contribuição do sector do petróleo para o PIB,"Biliões de Kz, anual",13.2,"13,2",11.4,"11,4",4.6,"4,6",104,
PDN-META-062,Energética,Petróleo e Gás,Contribuição do sector do petróleo para o PIB,% do PIB,27.0,27%,21.0,21%,3.0,3%,104,
PDN-META-063,Energética,Petróleo e Gás,Contribuição do sector do gás para o PIB,"Biliões de Kz, anual",0.9,"0,9",1.4,"1,4",0.9,"0,9",104,
PDN-META-064,Energética,Petróleo e Gás,Contribuição do sector do gás para o PIB,% do PIB,2.0,2%,1.0,1%,1.0,1%,104,
PDN-META-065,Comunicações e Aceleração Digital,Comunicações,Contribuição do sector das comunicações e tecnologias de informação para o PIB,"Biliões de Kz, anual",0.31,"0,31",0.5,"0,5",4.3,"4,3",113,
PDN-META-066,Comunicações e Aceleração Digital,Comunicações,Contribuição do sector das comunicações e tecnologias de informação para o PIB,% do PIB,0.6,"0,6%",0.8,"0,8%",3.2,"3,2%",113,
PDN-META-067,Comunicações e Aceleração Digital,Comunicações,Cobertura de rede 3G,% da população,76.0,76%,93.0,93%,100.0,100%,113,
PDN-META-068,Comunicações e Aceleração Digital,Comunicações,Cobertura de rede 4G,% da população,23.0,23%,32.0,32%,100.0,100%,113,
PDN-META-069,Comunicações e Aceleração Digital,Comunicações,Cobertura de rede 5G,% da população,0.0,0%,21.0,21%,100.0,100%,113,
PDN-META-070,Transportes e Logística,Transportes,Contribuição do sector dos transportes para o PIB,"Biliões de Kz, anual",0.85,"0,85",1.11,"1,11",2.0,2,117,
PDN-META-071,Transportes e Logística,Transportes,Subsector da aviação civil — número de passageiros,"Milhões, anual",2.2,"2,2",4.8,"4,8",10.1,"10,1",117,
PDN-META-072,Transportes e Logística,Transportes,Subsector ferroviário — toneladas transportadas,"Milhões de toneladas, anual",0.5,"0,5",3.3,"3,3",20.9,"20,9",117,
PDN-META-073,Transportes e Logística,Transportes,Subsector marítimo e portuário — toneladas de carga processadas nos portos,"Milhões de toneladas, anual",17.4,"17,4",29.8,"29,8",48.4,"48,4",117,
PDN-META-074,Águas e Saneamento,Água,Abastecimento de água para responder às necessidades da população e economia angolanas,hm³,1344,1.344,2469,2.469,13139,13.139,125,
PDN-META-075,Águas e Saneamento,Água,Capacidade de armazenamento de água,m³ per capita,317,317,350,350,400,400,125,
PDN-META-076,Águas e Saneamento,Água,% da população que utiliza serviços básicos de água potável,%,57.0,57%,61.0,61%,89.0,89%,125,
PDN-META-077,Águas e Saneamento,Água,% da população que utiliza serviços básicos de saneamento,%,52.0,52%,55.0,55%,66.0,66%,125,
PDN-META-078,Águas e Saneamento,Água,Densidade das estações hidrométricas,km²/estação,21500,21.500,13508,13.508,3750,3.750,125,
PDN-META-079,Sustentabilidade Ambiental,Ambiente,Pontuação no Índice de Desempenho Ambiental (EPI),Pontuação,30.5,"30,5",33.6,"33,6",52.6,"52,6",129,
PDN-META-080,Sustentabilidade Ambiental,Ambiente,Emissões de gases de efeito estufa,KtCO₂e,99992.2,"99.992,2",84694.3,"84.694,3",,-,129,
PDN-META-081,Sustentabilidade Ambiental,Ambiente,Pontuação na categoria Qualidade do Ar do EPI,Pontuação,23.1,"23,1",25.7,"25,7",42.2,"42,2",129,
PDN-META-082,Sustentabilidade Ambiental,Ambiente,Pontuação na categoria Biodiversidade e Habitat do EPI,Pontuação,30.1,"30,1",34.6,"34,6",65.3,"65,3",129,
PDN-META-083,Sustentabilidade Ambiental,Ambiente,Pontuação no Índice Mundial de Risco — Bündnis Entwicklung Hilft,Pontuação,11.0,11,10.2,"10,2",7.0,7,129,
PDN-META-084,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Contribuição da agricultura para o PIB,"Biliões de Kz, anual",5.2,"5,2",7.5,"7,5",18.4,"18,4",138,
PDN-META-085,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Contribuição da agricultura para o PIB,% do PIB,9.7,"9,7%",12.1,"12,1%",14.1,"14,1%",138,
PDN-META-086,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Contribuição da pecuária para o PIB,"Biliões de Kz, anual",0.4,"0,4",0.6,"0,6",2.2,"2,2",138,
PDN-META-087,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Contribuição da pecuária para o PIB,% do PIB,0.7,"0,7%",0.9,"0,9%",1.7,"1,7%",138,
PDN-META-088,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Número de explorações agrícolas familiares,"Milhões, anual",3.1,"3,1",3.41,"3,41",4.7,"4,7",138,
PDN-META-089,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Área média de terreno agrícola por exploração familiar,Hectares,1.81,"1,81",1.93,"1,93",2.3,"2,3",138,
PDN-META-090,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Número de explorações agrícolas comerciais,"Milhares, anual",5.88,"5,88",7.25,"7,25",18.95,"18,95",138,
PDN-META-091,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Área média de terreno agrícola por exploração comercial,Hectares,88.2,"88,2",91.8,"91,8",110.2,"110,2",138,
PDN-META-092,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Área total de terra agrícola para agricultura familiar,Milhões de hectares,5.61,"5,61",6.58,"6,58",10.94,"10,94",138,
PDN-META-093,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Área total de terra agrícola para agricultura empresarial,Milhões de hectares,0.5,"0,5",0.62,"0,62",2.1,"2,1",138,
PDN-META-094,"Apoio à Produção, Diversificação das Exportações e Substituição das Importações",Agricultura e Pecuária,Toneladas de produção de carne,Milhares de toneladas,320,320,788,788,2415,2.415,138,
PDN-META-095,Estabilidade e Crescimento Económico,Formalização da economia,Taxa de formalização,% de todos os empregos,22.0,22%,31.0,31%,55.0,55%,163,
PDN-META-096,Estabilidade e Crescimento Económico,Formalização da economia,Número total de trabalhadores registados no INSS,"Milhões, anual",2.5,"2,5",4.3,"4,3",13.6,"13,6",163,
PDN-META-097,Estabilidade e Crescimento Económico,Apoio ao empresariado nacional e financiamento da economia,Volume total de investimento,"Mil milhões de USD, cumulativo",,-,126,126,948,948,163,
PDN-META-098,Estabilidade e Crescimento Económico,Apoio ao empresariado nacional e financiamento da economia,Stock de crédito ao sector privado,% do PIB não-petrolífero,10.9,"10,9%",12.5,"12,5%",36.0,36%,163,
PDN-META-099,Estabilidade e Crescimento Económico,Apoio ao empresariado nacional e financiamento da economia,IDE não-petrolífero,% do PIB não-petrolífero,,<1%,9.0,9%,12.0,12%,163,
PDN-META-100,Estabilidade e Crescimento Económico,Ambiente de negócios,Classificação no ranking do Índice de Competitividade Global — Fórum Económico Mundial,Posição no ranking,136,136,112,112,80,Top 80,163,
PDN-META-101,Estabilidade e Crescimento Económico,Ambiente de negócios,Investimento privado per capita,"Milhões de USD, anual",280,280,338,338,630,630,163,
PDN-META-102,Defesa e Segurança,Defesa,Classificação no Índice de Paz Global — Instituto para Economia e Paz,Posição no ranking,78,78,72,72,60,Top 60,179,
PDN-META-103,Defesa e Segurança,Defesa,Classificação no Índice de Segurança e Protecção — Índice Ibrahim,Posição no ranking,28,28,24,24,20,Top 20,179,
PDN-META-104,Defesa e Segurança,Defesa,Despesa militar,% do PIB,1.4,"1,4%",1.0,1%,1.0,1%,179,
PDN-META-105,Defesa e Segurança,Defesa,Número de militares por 1.000 habitantes,Por 1.000 habitantes,3.5,"3,5",3.1,"3,1",1.7,"1,7",179,
PDN-META-106,Defesa e Segurança,Interior e Segurança Pública,Número de crimes por 100.000 habitantes,Por 100.000 habitantes,207,207,197,197,165,165,179,
PDN-META-107,Defesa e Segurança,Interior e Segurança Pública,Taxa de ocupação do sistema penitenciário,%,113.0,113%,108.0,108%,100.0,100%,179,
PDN-META-108,Defesa e Segurança,Interior e Segurança Pública,Despesa com ordem e segurança,% do PIB,1.4,"1,4%",1.3,"1,3%",1.2,"1,2%",179,
PDN-META-109,Defesa e Segurança,Interior e Segurança Pública,Rácio polícia/cidadão,Por 100.000 habitantes,404,404,367,367,336,336,179,
PDN-META-110,Política Externa,Política Externa,"Volume de investimento directo estrangeiro, em especial no sector do agronegócio","Mil milhões de USD, anual",6.0,6,14.0,14,28.0,28,193,
PDN-META-111,Política Externa,Política Externa,Volume de exportações não-petrolíferas,"Mil milhões de USD, anual",4.0,4,7.3,"7,3",64.0,64,193,
PDN-META-112,Política Externa,Política Externa,Número de turistas internacionais recebidos por Angola,"Milhões, anual",0.12,"0,12",0.16,"0,16",2.0,2,193,
PDN-META-113,Política Externa,Política Externa,Cumprimento dos limiares da primeira avaliação para graduação de Angola para País de Rendimento Médio,Marco,,-,,X,,-,193,
PDN-META-114,Política Externa,Política Externa,"Adesão efectiva à Zona de Livre Comércio da SADC, CEEAC, Tripartida e Continental concluída",Marco,,-,,X,,-,193,
PDN-META-115,Política Externa,Política Externa,Número de novos quadros angolanos que trabalham em organizações internacionais,"N.º, anual",,-,16,16,100,100,193,
